Request ID,Employee,Email,Request Date,Product,Unit Price,Quantity,Total Price,Status
1,Sushil Kumar,sushil@gmail.com,2026-08-07T20:14:59.382054,,65000.00,2,130000.00,REJECTED
1,Sushil Kumar,sushil@gmail.com,2026-08-07T20:14:59.382054,,65000.00,3,195000.00,REJECTED
2,Sushil Kumar,sushil@gmail.com,2026-08-09T18:37:54.220172,,65000.00,2,130000.00,PENDING
2,Sushil Kumar,sushil@gmail.com,2026-08-09T18:37:54.220172,,65000.00,3,195000.00,PENDING
3,Sushil Kumar,sushil@gmail.com,2026-08-09T21:25:43.374443,,65000.00,1,65000.00,APPROVED
4,Sushil Kumar,sushil@gmail.com,2026-08-09T21:46:51.125529,,65000.00,1,65000.00,REJECTED
5,Sushil Kumar,sushil@gmail.com,2026-08-09T22:12:00.291471,,65000.00,1,65000.00,REJECTED
6,Sushil Kumar,sushil@gmail.com,2026-08-09T22:13:55.338219,,65000.00,1,65000.00,REJECTED
7,Raushan Kumar,raushan.employee@epms.com,2026-08-10T15:47:44.183652,,65000.00,1,65000.00,APPROVED
7,Raushan Kumar,raushan.employee@epms.com,2026-08-10T15:47:44.183652,,14500.00,2,29000.00,APPROVED
8,Raushan Kumar,raushan.employee@epms.com,2026-08-10T19:18:02.083516,,65000.00,1,65000.00,APPROVED
8,Raushan Kumar,raushan.employee@epms.com,2026-08-10T19:18:02.083516,,14500.00,2,29000.00,APPROVED
9,Raushan Kumar,raushan.employee@epms.com,2026-08-11T16:16:31.514235,,65000.00,1,65000.00,APPROVED
9,Raushan Kumar,raushan.employee@epms.com,2026-08-11T16:16:31.514235,,14500.00,2,29000.00,APPROVED
10,Raushan Kumar,raushan.employee@epms.com,2026-08-11T16:33:17.769789,,65000.00,1,65000.00,REJECTED
